Nacion,Proposito,Qty
*GCC,Turismo,34688
Africa others,Turismo,22177
America others,Turismo,35578
Asia others,Turismo,35375
Austrailia,Turismo,173354
Austria,Turismo,11159
Bangladesh,Turismo,3520
Belgium,Turismo,12758
Brazil,Turismo,20403
Bulgaria,Turismo,3546
Cambodia,Turismo,20151
Canada,Turismo,168618
China,Turismo,5341847
Croatia,Turismo,3344
Denmark,Turismo,12050
Europe others,Turismo,33404
Finland,Turismo,9578
France,Turismo,96123
Germany,Turismo,106596
Greece,Turismo,7450
Hong Kong,Turismo,766312
India,Turismo,49996
Indonesia,Turismo,220699
Iran,Turismo,2535
Ireland,Turismo,8855
Israel,Turismo,17423
Italy,Turismo,39693
Japan,Turismo,3585819
Kazakhstan,Turismo,39679
Macao,Turismo,57726
Malaysia,Turismo,413728
Mexico,Turismo,25837
Mongolia,Turismo,106469
Myanmar,Turismo,24603
Netherland,Turismo,33256
New Zealand,Turismo,35249
Norway,Turismo,11012
Oceania others,Turismo,4727
Overseas Korean,Turismo,0
Pakistan,Turismo,4487
Phillipines,Turismo,315298
Poland,Turismo,17062
Portugal,Turismo,10515
Romania,Turismo,7180
Russia,Turismo,289121
Singapore,Turismo,240647
South Africa,Turismo,7876
Spain,Turismo,28096
Sri Lanka,Turismo,3677
Stateless,Turismo,489
Sweden,Turismo,18586
Swiss,Turismo,17235
Taiwan,Turismo,1399668
Thailand,Turismo,542276
Turkey,Turismo,18552
UK,Turismo,132273
Ukraine,Turismo,9635
USA,Turismo,885065
Uzbekistan,Turismo,39853
Vietnam,Turismo,420452
*GCC,Otros,1525
Africa others,Otros,16696
America others,Otros,9621
Asia others,Otros,35885
Austrailia,Otros,19297
Austria,Otros,2471
Bangladesh,Otros,12392
Belgium,Otros,2493
Brazil,Otros,5763
Bulgaria,Otros,3497
Cambodia,Otros,26661
Canada,Otros,60550
China,Otros,956800
Croatia,Otros,3327
Denmark,Otros,1992
Europe others,Otros,16272
Finland,Otros,5323
France,Otros,16496
Germany,Otros,21034
Greece,Otros,3496
Hong Kong,Otros,12744
India,Otros,69041
Indonesia,Otros,89664
Iran,Otros,777
Ireland,Otros,2434
Israel,Otros,673
Italy,Otros,12406
Japan,Otros,62971
Kazakhstan,Otros,18880
Macao,Otros,250
Malaysia,Otros,37010
Mexico,Otros,7420
Mongolia,Otros,10821
Myanmar,Otros,59380
Netherland,Otros,9420
New Zealand,Otros,9087
Norway,Otros,952
Oceania others,Otros,1243
Overseas Korean,Otros,211216
Pakistan,Otros,5714
Phillipines,Otros,238844
Poland,Otros,9354
Portugal,Otros,1753
Romania,Otros,6878
Russia,Otros,106036
Singapore,Otros,19073
South Africa,Otros,7587
Spain,Otros,3813
Sri Lanka,Otros,16503
Stateless,Otros,193
Sweden,Otros,1534
Swiss,Otros,1348
Taiwan,Otros,17924
Thailand,Otros,95128
Turkey,Otros,15178
UK,Otros,24425
Ukraine,Otros,20689
USA,Otros,232276
Uzbekistan,Otros,43321
Vietnam,Otros,120491
*GCC,Estudios,1320
Africa others,Estudios,3652
America others,Estudios,1586
Asia others,Estudios,4239
Austrailia,Estudios,655
Austria,Estudios,328
Bangladesh,Estudios,1781
Belgium,Estudios,452
Brazil,Estudios,541
Bulgaria,Estudios,107
Cambodia,Estudios,834
Canada,Estudios,868
China,Estudios,277895
Croatia,Estudios,51
Denmark,Estudios,560
Europe others,Estudios,1458
Finland,Estudios,679
France,Estudios,6753
Germany,Estudios,4125
Greece,Estudios,30
Hong Kong,Estudios,3286
India,Estudios,2519
Indonesia,Estudios,4207
Iran,Estudios,439
Ireland,Estudios,84
Israel,Estudios,81
Italy,Estudios,945
Japan,Estudios,16333
Kazakhstan,Estudios,2222
Macao,Estudios,328
Malaysia,Estudios,3221
Mexico,Estudios,1133
Mongolia,Estudios,10679
Myanmar,Estudios,1455
Netherland,Estudios,1445
New Zealand,Estudios,65
Norway,Estudios,466
Oceania others,Estudios,53
Overseas Korean,Estudios,0
Pakistan,Estudios,2666
Phillipines,Estudios,1853
Poland,Estudios,461
Portugal,Estudios,177
Romania,Estudios,133
Russia,Estudios,2647
Singapore,Estudios,1370
South Africa,Estudios,65
Spain,Estudios,1120
Sri Lanka,Estudios,382
Stateless,Estudios,20
Sweden,Estudios,861
Swiss,Estudios,434
Taiwan,Estudios,5662
Thailand,Estudios,2181
Turkey,Estudios,827
UK,Estudios,946
Ukraine,Estudios,377
USA,Estudios,6396
Uzbekistan,Estudios,8909
Vietnam,Estudios,65316
*GCC,Aventuras,167
Africa others,Aventuras,1210
America others,Aventuras,562
Asia others,Aventuras,3007
Austrailia,Aventuras,548
Austria,Aventuras,35
Bangladesh,Aventuras,1254
Belgium,Aventuras,67
Brazil,Aventuras,183
Bulgaria,Aventuras,46
Cambodia,Aventuras,1979
Canada,Aventuras,458
China,Aventuras,5067
Croatia,Aventuras,12
Denmark,Aventuras,122
Europe others,Aventuras,366
Finland,Aventuras,26
France,Aventuras,641
Germany,Aventuras,363
Greece,Aventuras,38
Hong Kong,Aventuras,52
India,Aventuras,1229
Indonesia,Aventuras,2830
Iran,Aventuras,100
Ireland,Aventuras,29
Israel,Aventuras,23
Italy,Aventuras,226
Japan,Aventuras,2264
Kazakhstan,Aventuras,86
Macao,Aventuras,1
Malaysia,Aventuras,86
Mexico,Aventuras,107
Mongolia,Aventuras,4425
Myanmar,Aventuras,1356
Netherland,Aventuras,120
New Zealand,Aventuras,146
Norway,Aventuras,34
Oceania others,Aventuras,119
Overseas Korean,Aventuras,0
Pakistan,Aventuras,307
Phillipines,Aventuras,2195
Poland,Aventuras,27
Portugal,Aventuras,1
Romania,Aventuras,63
Russia,Aventuras,455
Singapore,Aventuras,108
South Africa,Aventuras,61
Spain,Aventuras,200
Sri Lanka,Aventuras,57
Stateless,Aventuras,0
Sweden,Aventuras,101
Swiss,Aventuras,39
Taiwan,Aventuras,221
Thailand,Aventuras,4189
Turkey,Aventuras,796
UK,Aventuras,242
Ukraine,Aventuras,72
USA,Aventuras,41533
Uzbekistan,Aventuras,44
Vietnam,Aventuras,4382
*GCC,Negocios,403
Africa others,Negocios,10585
America others,Negocios,250
Asia others,Negocios,6386
Austrailia,Negocios,1144
Austria,Negocios,99
Bangladesh,Negocios,1877
Belgium,Negocios,259
Brazil,Negocios,230
Bulgaria,Negocios,32
Cambodia,Negocios,664
Canada,Negocios,596
China,Negocios,47709
Croatia,Negocios,87
Denmark,Negocios,175
Europe others,Negocios,569
Finland,Negocios,150
France,Negocios,3380
Germany,Negocios,3056
Greece,Negocios,303
Hong Kong,Negocios,765
India,Negocios,37467
Indonesia,Negocios,2042
Iran,Negocios,826
Ireland,Negocios,117
Israel,Negocios,146
Italy,Negocios,975
Japan,Negocios,28194
Kazakhstan,Negocios,210
Macao,Negocios,24
Malaysia,Negocios,1677
Mexico,Negocios,83
Mongolia,Negocios,1217
Myanmar,Negocios,183
Netherland,Negocios,502
New Zealand,Negocios,245
Norway,Negocios,422
Oceania others,Negocios,26
Overseas Korean,Negocios,0
Pakistan,Negocios,3139
Phillipines,Negocios,2380
Poland,Negocios,178
Portugal,Negocios,85
Romania,Negocios,109
Russia,Negocios,2369
Singapore,Negocios,1858
South Africa,Negocios,90
Spain,Negocios,341
Sri Lanka,Negocios,808
Stateless,Negocios,25
Sweden,Negocios,347
Swiss,Negocios,257
Taiwan,Negocios,1154
Thailand,Negocios,749
Turkey,Negocios,200
UK,Negocios,1944
Ukraine,Negocios,1213
USA,Negocios,5449
Uzbekistan,Negocios,9961
Vietnam,Negocios,14280
